time,I.0,O.1,TF.2,
0,3031.9899473571904,3384.2906613739256,3583.7193912688836,
1,3166.5087641486493,3294.6549365908445,3538.8362992605053,
2,3213.0360864490594,3262.2569741132925,3524.706939437648,
3,3229.1128505800075,3250.6203660230676,3520.2667833969253,
4,3234.651714828197,3246.4545099872503,3518.893775184553,
5,3236.552784373351,3244.9663862182333,3518.480829408416,
6,3237.2024152032077,3244.435746693251,3518.3618381035426,
7,3237.4232999778874,3244.246846191214,3518.329853830898,
8,3237.4979781938905,3244.179712582453,3518.322309223656,
9,3237.5230612992495,3244.1558948021443,3518.321043898606,
10,3237.53142235671,3244.1474597360607,3518.3211179072287,
11,3237.534184403978,3244.144478016584,3518.3213375794385,
12,3237.535087000737,3244.143426064988,3518.3214869342755,
13,3237.5353780478745,3244.1430557006347,3518.32156625149,
14,3237.5354703277335,3244.1429255895537,3518.3216040827115,
15,3237.535498947109,3244.1428799868345,3518.321621066058,
16,3237.535507558482,3244.1428640431236,3518.3216283983943,
17,3237.535510037622,3244.14285848369,3518.3216314786882,
18,3237.535510702503,3244.142856550734,3518.3216327467635,
19,3237.5355108585486,3244.142855880763,3518.3216332606903,
20,3237.5355108842723,3244.1428556493383,3518.3216334663884,
21,3237.5355108824183,3244.1428555696993,3518.3216335478833,
22,3237.535510877699,3244.142855542407,3518.3216335798943,
23,3237.535510874525,3244.142855533097,3518.3216335923785,
24,3237.535510872846,3244.1428555299385,3518.321633597216,
25,3237.5355108720464,3244.142855528873,3518.32163359908,
26,3237.5355108716885,3244.142855528516,3518.321633599796,
27,3237.5355108715344,3244.1428555283974,3518.3216336000696,
28,3237.535510871469,3244.142855528358,3518.321633600173,
29,3237.535510871442,3244.1428555283464,3518.321633600212,
30,3237.5355108714316,3244.142855528342,3518.321633600227,
31,3237.5355108714266,3244.14285552834,3518.321633600232,
32,3237.535510871425,3244.14285552834,3518.3216336002342,
33,3237.5355108714243,3244.14285552834,3518.3216336002356,
34,3237.535510871424,3244.14285552834,3518.321633600236,
35,3237.535510871424,3244.14285552834,3518.3216336002365,
36,3237.535510871424,3244.14285552834,3518.3216336002365,
37,3237.535510871424,3244.14285552834,3518.3216336002365,
38,3237.535510871424,3244.14285552834,3518.3216336002365,
39,3237.535510871424,3244.14285552834,3518.3216336002365,
40,3237.535510871424,3244.14285552834,3518.3216336002365,
41,3237.535510871424,3244.14285552834,3518.3216336002365,
42,3237.535510871424,3244.14285552834,3518.3216336002365,
43,3237.535510871424,3244.14285552834,3518.3216336002365,
44,3237.535510871424,3244.14285552834,3518.3216336002365,
45,3237.535510871424,3244.14285552834,3518.3216336002365,
46,3237.535510871424,3244.14285552834,3518.3216336002365,
47,3237.535510871424,3244.14285552834,3518.3216336002365,
48,3237.535510871424,3244.14285552834,3518.3216336002365,
49,3237.535510871424,3244.14285552834,3518.3216336002365,
50,3237.535510871424,3244.14285552834,3518.3216336002365,
51,3237.535510871424,3244.14285552834,3518.3216336002365,
52,3237.535510871424,3244.14285552834,3518.3216336002365,
53,3237.535510871424,3244.14285552834,3518.3216336002365,
54,3237.535510871424,3244.14285552834,3518.3216336002365,
55,3237.535510871424,3244.14285552834,3518.3216336002365,
56,3237.535510871424,3244.14285552834,3518.3216336002365,
57,3237.535510871424,3244.14285552834,3518.3216336002365,
58,3237.535510871424,3244.14285552834,3518.3216336002365,
59,3237.535510871424,3244.14285552834,3518.3216336002365,
60,3237.535510871424,3244.14285552834,3518.3216336002365,
61,3237.535510871424,3244.14285552834,3518.3216336002365,
62,3237.535510871424,3244.14285552834,3518.3216336002365,
63,3237.535510871424,3244.14285552834,3518.3216336002365,
64,3237.535510871424,3244.14285552834,3518.3216336002365,
65,3237.535510871424,3244.14285552834,3518.3216336002365,
66,3237.535510871424,3244.14285552834,3518.3216336002365,
67,3237.535510871424,3244.14285552834,3518.3216336002365,
68,3237.535510871424,3244.14285552834,3518.3216336002365,
69,3237.535510871424,3244.14285552834,3518.3216336002365,
70,3237.535510871424,3244.14285552834,3518.3216336002365,
71,3237.535510871424,3244.14285552834,3518.3216336002365,
72,3237.535510871424,3244.14285552834,3518.3216336002365,
73,3237.535510871424,3244.14285552834,3518.3216336002365,
74,3237.535510871424,3244.14285552834,3518.3216336002365,
75,3237.535510871424,3244.14285552834,3518.3216336002365,
